cultura,chuva,umidade_especifica,umidade_relativa,temperatura,rendimento,cluster,rendimento_relativo
"Rice, paddy",2892.78,18.49,86.09,26.18,33907,0,1.0902221793511462
"Rice, paddy",2729.53,18.41,86.03,26.11,35277,0,1.134272209896788
"Rice, paddy",3085.79,18.34,86.1,26.03,35836,0,1.1522459084916883
"Rice, paddy",2922.18,18.43,85.51,26.23,37205,0,1.1962637857303624
"Rice, paddy",2546.33,18.43,84.23,26.49,36361,1,1.1691263946496897
"Rice, paddy",2938.29,18.22,85.42,26.06,37468,0,1.204720105462847
"Rice, paddy",2771.73,18.38,84.98,26.3,37972,0,1.2209253721745281
"Rice, paddy",2607.96,18.37,84.67,26.35,38763,1,1.2463586379859168
"Rice, paddy",2604.59,18.19,83.44,26.43,29855,1,0.9599369795183434
"Rice, paddy",2308.51,18.27,83.65,26.47,40223,1,1.2933024661586445
"Rice, paddy",2410.13,18.58,83.45,26.81,39775,1,1.2788977846371499
"Rice, paddy",2967.41,18.67,85.48,26.46,37496,0,1.2056203980579403
"Rice, paddy",2333.46,18.5,84.85,26.43,37704,1,1.2123082859072056
"Rice, paddy",2109.34,18.51,83.52,26.72,42550,1,1.3681232114722999
"Rubber, natural",2248.92,17.72,83.4,26.01,9322,2,1.1925291032365357
"Rubber, natural",1938.42,17.54,82.11,26.11,9223,2,1.1798643981066905
"Rubber, natural",2301.54,17.81,82.79,26.24,9866,2,1.262121018293463
"Rubber, natural",2592.35,17.61,85.07,25.56,9718,2,1.2431879237559167
"Rubber, natural",2344.72,17.61,84.12,25.76,9573,2,1.224638608161699
"Rubber, natural",2339.3,17.7,84.54,25.76,10024,2,1.282333375975438
"Rubber, natural",2326.09,18.09,84.63,26.11,10285,2,1.31572214404503
"Rubber, natural",2718.08,18.3,85.43,26.12,10010,0,1.280542407573238
"Rubber, natural",2061.61,17.8,84.36,25.88,8604,2,1.1006780094665474
"Rubber, natural",1934.62,17.94,83.43,26.21,8002,2,1.023666368171933
"Rubber, natural",2217.12,18.03,84.39,26.1,6913,2,0.8843546117436357
"Rubber, natural",2249.7,18.01,84.24,26.11,6546,2,0.8374056543430983
"Rubber, natural",2530.96,18.15,85.33,26.02,6077,0,0.7774082128693872
"Rubber, natural",2504.7,18.19,85.45,26.02,6333,0,0.8101573493667648
"Rubber, natural",2686.2,18.38,85.77,26.13,6448,0,0.824868875527696
"Rubber, natural",2414.79,18.18,85.76,25.93,6562,0,0.8394524753741844
"Rubber, natural",1999.53,18.2,84.36,26.27,6008,1,0.7685812971728284
"Rubber, natural",2362.8,18.7,84.03,26.79,5693,1,0.728284508123321
"Rubber, natural",2792.95,18.24,86.04,25.95,5249,0,0.6714852245106818
"Rubber, natural",2751.24,18.31,85.98,26.02,6484,0,0.8294742228476397
"Rubber, natural",2646.28,18.4,86.02,26.1,6348,0,0.812076244083408
"Rubber, natural",2302.99,18.22,84.48,26.25,6597,1,0.8439298963796853
"Rubber, natural",2692.34,18.37,85.54,26.18,7435,0,0.9511321478828195
"Rubber, natural",2424.55,18.28,85.16,26.18,9139,0,1.1691185876934886
"Rubber, natural",2363.63,18.35,84.92,26.28,8857,1,1.1330433670205962
"Rubber, natural",2892.78,18.49,86.09,26.18,10159,0,1.2996034284252271
"Rubber, natural",2729.53,18.41,86.03,26.11,9612,0,1.2296277344249713
"Rubber, natural",3085.79,18.34,86.1,26.03,8599,0,1.1000383778943328
"Rubber, natural",2922.18,18.43,85.51,26.23,8337,0,1.066521683510298
"Rubber, natural",2546.33,18.43,84.23,26.49,9205,1,1.1775617244467187
"Rubber, natural",2938.29,18.22,85.42,26.06,9701,0,1.2410131764103876
"Rubber, natural",2771.73,18.38,84.98,26.3,8865,0,1.1340667775361393
"Rubber, natural",2607.96,18.37,84.67,26.35,7817,1,1.0
"Rubber, natural",2604.59,18.19,83.44,26.43,6275,1,0.8027376231290777
"Rubber, natural",2308.51,18.27,83.65,26.47,6721,1,0.8597927593706025
"Rubber, natural",2410.13,18.58,83.45,26.81,6248,1,0.7992836126391198
"Rubber, natural",2967.41,18.67,85.48,26.46,6842,0,0.8752718434181911
"Rubber, natural",2333.46,18.5,84.85,26.43,5571,1,0.7126774977612895
"Rubber, natural",2109.34,18.51,83.52,26.72,5903,1,0.755149034156326
